,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
442,2006,92281,6,325,3596,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,46079
443,2000,26889,2,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,207985
444,2000,361745,6,200,2435,5,5,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,4743
445,2013,62405,3,625,5998,12,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,95290
446,1994,110674,6,442,5474,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,60873
447,1966,47686,1,75,1776,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,72621
448,1987,57390,6,255,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,103992
449,2002,46203,6,515,5748,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,295443
450,1989,79230,1,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,63092
451,2017,24913,2,573,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,136950
452,2002,73971,3,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,213206
453,1954,83709,1,150,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,291527
454,1988,57902,6,455,5167,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,648321
455,1996,35439,6,492,5707,12,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,382466
456,2012,104129,2,512,6752,8,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,103557
457,1956,14520,3,193,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,145764
458,1993,90000,3,122,2402,4,4,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,77450
459,1981,142000,3,240,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,41771
460,1967,69764,6,1,1,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,45687
461,1987,107245,6,242,5600,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26063
462,1988,203529,6,230,5549,8,1,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,17361
463,1956,30605,6,105,1900,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,104384
464,1965,62000,2,51,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,86588
465,1981,67000,2,29,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,13053
466,1987,54497,6,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,125748
467,2014,70300,2,507,3993,8,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,103992
468,2010,73480,5,630,5998,12,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,69575
469,1994,73971,6,100,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,25895
470,2008,79000,1,355,3824,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,60046
471,2017,96081,6,160,1998,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,20446
472,1989,73971,3,72,2400,4,3,Left (LHD),Manual,4,4WD,Disc,Drum,Diesel,19928
473,2004,85000,6,405,6761,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,38247
474,2014,30000,2,550,5000,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,62221
475,2022,85,1,500,3996,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,191451
476,2017,71105,3,420,2981,6,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,113122
477,2004,88270,1,450,3598,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,81724
478,1983,191512,1,204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23409
479,1992,20600,2,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,97379
480,2008,30331,2,517,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,124950
481,1975,83500,2,37,1192,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,23409
482,1987,101492,6,270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,77886
483,1960,36798,6,120,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,71794
484,1961,51483,1,224,3781,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24236
485,1971,102916,3,165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,27847
486,2014,59788,1,385,5000,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,60873
487,1999,32644,6,255,3518,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46992
488,2000,90300,3,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,39073
489,1965,36000,1,120,2195,6,4,Left (LHD),Automatic,4,Rear,Disc,Drum,Petrol,25663
490,1989,28607,1,390,4943,12,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,152290
491,1989,12262,2,215,3532,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,121832
492,1959,73971,3,44,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,13837
493,1950,34639,4,52,1767,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,152290
494,2006,90123,1,250,3189,6,3,Right (RHD),Manual,6,4WD,Disc,Disc,Petrol,16995
495,2001,149,3,284,3,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16421
496,1959,7800,4,106,2195,6,2,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,74161
497,2022,5184,1,482,6162,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,103977
498,1960,73971,1,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102687
499,1963,60900,3,55,1988,4,4,Left (LHD),Automatic,4,Rear,Drum,Drum,Diesel,34374
500,1971,74315,6,85,1563,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,59611
501,1998,115269,6,326,5400,12,0,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,51779
502,2003,98315,2,500,5439,8,2,Left (LHD),Semi-Automatic,5,Rear,Disc,Disc,Petrol,33504
503,1947,47927,6,90,2443,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,256718
504,2002,73840,6,306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,30415
505,1979,81669,1,218,3453,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43468
506,1981,102000,3,177,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,18209
507,2013,62000,3,460,4691,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,62221
508,1987,107600,2,230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,19406
509,1977,132355,3,125,1984,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,9573
510,1975,79976,2,105,1275,4,2,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,42206
